               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.016224,           0.0092234,                   0,             0.96992,             0.95567,             0.97383,             0.71681,            0.012969,           0.0064192,                   0,           0.0036888,           0.0036888,           0.0036888
                 104,             0.01629,           0.0092668,                   0,             0.95165,             0.97044,             0.96772,             0.71717,            0.013526,           0.0060218,                   0,           0.0036269,           0.0036269,           0.0036269
                 105,            0.016652,           0.0090928,                   0,             0.97977,             0.97044,             0.98079,             0.71857,            0.013437,           0.0058806,                   0,            0.003565,            0.003565,            0.003565
                 106,             0.01661,           0.0093517,                   0,             0.97028,             0.96552,             0.98124,             0.72989,            0.013456,           0.0059477,                   0,           0.0035031,           0.0035031,           0.0035031
                 107,            0.016637,           0.0089755,                   0,             0.97525,             0.97043,             0.98442,             0.70644,            0.013162,           0.0062156,                   0,           0.0034413,           0.0034413,           0.0034413
                 108,            0.017829,           0.0093338,                   0,             0.97041,             0.97044,             0.98527,             0.72054,            0.013046,           0.0060953,                   0,           0.0033794,           0.0033794,           0.0033794
                 109,            0.016559,           0.0090404,                   0,             0.96566,             0.97044,             0.98602,              0.7289,            0.012934,           0.0061024,                   0,           0.0033175,           0.0033175,           0.0033175
                 110,            0.017589,           0.0092301,                   0,             0.97977,             0.96059,             0.98169,             0.72275,            0.012917,           0.0060587,                   0,           0.0032556,           0.0032556,           0.0032556
                 111,            0.015952,           0.0093739,                   0,             0.96552,             0.96549,              0.9762,             0.71974,            0.012948,           0.0063158,                   0,           0.0031938,           0.0031938,           0.0031938
                 112,            0.015655,           0.0087374,                   0,             0.96548,             0.96552,             0.98225,             0.73235,            0.012897,           0.0063576,                   0,           0.0031319,           0.0031319,           0.0031319
                 113,            0.016455,           0.0092645,                   0,             0.96568,             0.97036,             0.98035,             0.72468,            0.012604,            0.006666,                   0,             0.00307,             0.00307,             0.00307
                 114,            0.015694,           0.0087195,                   0,             0.96602,              0.9802,             0.98438,             0.71913,            0.012593,           0.0066489,                   0,           0.0030081,           0.0030081,           0.0030081
                 115,            0.015445,           0.0091326,                   0,             0.98469,              0.9507,             0.98523,             0.71793,            0.013088,            0.006706,                   0,           0.0029462,           0.0029462,           0.0029462
                 116,            0.014734,           0.0087767,                   0,             0.96113,             0.97537,              0.9835,             0.71863,            0.012873,           0.0065239,                   0,           0.0028844,           0.0028844,           0.0028844
                 117,             0.01498,           0.0081316,                   0,             0.96078,             0.96545,             0.97146,             0.71422,            0.012775,           0.0066092,                   0,           0.0028225,           0.0028225,           0.0028225
                 118,            0.015791,           0.0085879,                   0,             0.96135,             0.98026,             0.97947,             0.72253,            0.012701,            0.006668,                   0,           0.0027606,           0.0027606,           0.0027606
                 119,            0.014746,           0.0084847,                   0,             0.96567,             0.97044,             0.98131,             0.72326,            0.012686,           0.0065665,                   0,           0.0026987,           0.0026987,           0.0026987
                 120,            0.017137,           0.0088342,                   0,              0.9703,              0.9655,             0.97373,             0.71727,            0.013041,           0.0066991,                   0,           0.0026369,           0.0026369,           0.0026369
                 121,            0.015864,           0.0086657,                   0,             0.98027,              0.9803,             0.98578,              0.7123,            0.013103,           0.0067079,                   0,            0.002575,            0.002575,            0.002575
                 122,            0.015131,            0.008871,                   0,              0.9802,             0.97536,             0.98325,             0.73212,            0.012932,           0.0062922,                   0,           0.0025131,           0.0025131,           0.0025131
                 123,             0.01476,           0.0088149,                   0,             0.98005,             0.97044,              0.9787,             0.73236,             0.01303,           0.0061705,                   0,           0.0024513,           0.0024513,           0.0024513
                 124,            0.016129,            0.008805,                   0,              0.9655,             0.96552,             0.97384,             0.71414,            0.013316,           0.0065301,                   0,           0.0023894,           0.0023894,           0.0023894
                 125,             0.01508,           0.0087664,                   0,             0.97521,             0.97044,             0.97869,             0.71626,            0.012959,           0.0066727,                   0,           0.0023275,           0.0023275,           0.0023275
                 126,            0.015062,           0.0087445,                   0,             0.97041,             0.97044,             0.97886,              0.7225,            0.012808,           0.0065031,                   0,           0.0022656,           0.0022656,           0.0022656
                 127,            0.014144,           0.0086601,                   0,             0.97537,             0.97533,              0.9806,             0.72486,            0.012678,           0.0064561,                   0,           0.0022038,           0.0022038,           0.0022038
                 128,            0.016458,           0.0085809,                   0,             0.97537,             0.97536,              0.9815,             0.72211,            0.012762,           0.0067399,                   0,           0.0021419,           0.0021419,           0.0021419
                 129,            0.014692,           0.0087134,                   0,             0.98016,             0.97537,             0.98276,             0.73427,            0.012633,           0.0069516,                   0,             0.00208,             0.00208,             0.00208
                 130,              0.0142,           0.0083891,                   0,             0.97058,             0.97537,              0.9803,             0.72716,            0.012331,           0.0070327,                   0,           0.0020181,           0.0020181,           0.0020181
                 131,            0.013816,           0.0081028,                   0,             0.95588,             0.96057,             0.96956,             0.72334,            0.012453,           0.0069392,                   0,           0.0019563,           0.0019563,           0.0019563
                 132,            0.013603,           0.0081675,                   0,             0.96098,             0.97043,              0.9718,             0.72616,            0.012587,            0.006742,                   0,           0.0018944,           0.0018944,           0.0018944
                 133,            0.014443,           0.0084811,                   0,             0.96564,             0.97044,               0.971,             0.72182,            0.012734,           0.0067362,                   0,           0.0018325,           0.0018325,           0.0018325
                 134,            0.013485,           0.0084618,                   0,             0.97517,             0.97044,             0.98162,             0.72762,            0.012857,           0.0067292,                   0,           0.0017706,           0.0017706,           0.0017706
                 135,            0.014128,           0.0085094,                   0,             0.97073,             0.98026,             0.98038,             0.72157,             0.01297,            0.006808,                   0,           0.0017087,           0.0017087,           0.0017087
                 136,            0.012427,           0.0079276,                   0,             0.96583,             0.97537,             0.97392,             0.72078,            0.012818,           0.0069522,                   0,           0.0016469,           0.0016469,           0.0016469
                 137,            0.013966,           0.0081388,                   0,             0.96567,             0.97044,             0.97339,             0.72341,            0.012725,           0.0069775,                   0,            0.001585,            0.001585,            0.001585
                 138,            0.013117,            0.007946,                   0,             0.98001,             0.97044,              0.9824,             0.72649,             0.01276,           0.0069689,                   0,           0.0015231,           0.0015231,           0.0015231
                 139,            0.013315,           0.0083178,                   0,             0.96602,             0.98027,             0.98228,             0.72543,            0.012677,           0.0069527,                   0,           0.0014612,           0.0014612,           0.0014612
                 140,             0.01418,           0.0084505,                   0,             0.97525,             0.97043,             0.98242,             0.72852,            0.012602,            0.006891,                   0,           0.0013994,           0.0013994,           0.0013994
                 141,            0.014163,           0.0080346,                   0,             0.96602,             0.98023,             0.98284,             0.73189,            0.012425,           0.0067767,                   0,           0.0013375,           0.0013375,           0.0013375
                 142,            0.013048,           0.0083357,                   0,             0.98492,              0.9655,             0.98308,             0.72308,            0.012634,           0.0068727,                   0,           0.0012756,           0.0012756,           0.0012756
                 143,            0.013543,           0.0083604,                   0,             0.97981,             0.96059,             0.97946,             0.72439,            0.012686,            0.006912,                   0,           0.0012138,           0.0012138,           0.0012138
                 144,            0.014225,           0.0078525,                   0,              0.9802,             0.97537,             0.98704,             0.73549,            0.012592,           0.0068892,                   0,           0.0011519,           0.0011519,           0.0011519
                 145,            0.012504,           0.0082785,                   0,             0.97535,             0.97537,             0.98467,             0.72508,            0.012626,           0.0069651,                   0,             0.00109,             0.00109,             0.00109
                 146,             0.01255,            0.008086,                   0,             0.97056,             0.97537,              0.9812,             0.72119,             0.01263,            0.007036,                   0,           0.0010281,           0.0010281,           0.0010281
                 147,            0.013211,           0.0078172,                   0,             0.97059,             0.97537,             0.98308,             0.73664,            0.012465,           0.0069939,                   0,          0.00096625,          0.00096625,          0.00096625
                 148,            0.013199,           0.0082904,                   0,             0.97055,             0.97537,             0.98232,             0.73568,             0.01237,           0.0069962,                   0,          0.00090438,          0.00090438,          0.00090438
                 149,            0.012072,           0.0076402,                   0,             0.97059,             0.97537,              0.9818,             0.73275,            0.012399,            0.007018,                   0,           0.0008425,           0.0008425,           0.0008425
                 150,            0.014241,           0.0080386,                   0,             0.97056,             0.97537,             0.98146,             0.73889,            0.012342,           0.0069241,                   0,          0.00078062,          0.00078062,          0.00078062
                 151,            0.013326,           0.0078395,                   0,             0.97059,             0.97537,             0.98117,             0.73752,            0.012424,           0.0068613,                   0,          0.00071875,          0.00071875,          0.00071875
                 152,            0.012811,           0.0076604,                   0,             0.96566,             0.97044,             0.97943,              0.7316,            0.012398,           0.0069676,                   0,          0.00065688,          0.00065688,          0.00065688
                 153,             0.01274,           0.0079803,                   0,             0.97529,             0.97537,             0.98059,             0.72878,            0.012419,           0.0069689,                   0,            0.000595,            0.000595,            0.000595
                 154,             0.01338,           0.0078432,                   0,             0.96602,             0.98029,             0.97975,             0.72753,            0.012421,           0.0069741,                   0,          0.00053312,          0.00053312,          0.00053312
                 155,            0.013125,           0.0078889,                   0,             0.96602,             0.98027,             0.97908,             0.72979,            0.012443,           0.0069907,                   0,          0.00047125,          0.00047125,          0.00047125
                 156,            0.012931,           0.0076785,                   0,             0.96135,             0.98024,             0.97916,             0.73137,            0.012389,            0.007005,                   0,          0.00040938,          0.00040938,          0.00040938
                 157,            0.012528,           0.0077928,                   0,             0.96585,             0.97535,             0.97936,             0.73255,            0.012387,           0.0070268,                   0,           0.0003475,           0.0003475,           0.0003475
                 158,            0.012344,           0.0078233,                   0,             0.95652,             0.97527,             0.97683,             0.73303,            0.012425,           0.0070258,                   0,          0.00028563,          0.00028563,          0.00028563
                 159,            0.013232,           0.0078098,                   0,             0.95652,             0.97525,             0.97756,             0.73179,            0.012458,           0.0070158,                   0,          0.00022375,          0.00022375,          0.00022375
