               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.021368,            0.011488,                   0,             0.95606,             0.96552,               0.981,             0.68229,            0.013412,           0.0054917,                   0,           0.0056688,           0.0056688,           0.0056688
                  72,            0.020177,            0.011325,                   0,             0.96552,             0.96547,             0.98382,              0.6853,            0.013208,           0.0054229,                   0,           0.0056069,           0.0056069,           0.0056069
                  73,            0.021757,            0.011171,                   0,              0.9597,             0.94089,             0.98062,             0.71219,            0.013483,           0.0051392,                   0,            0.005545,            0.005545,            0.005545
                  74,            0.021455,            0.011564,                   0,             0.96514,             0.95567,             0.97755,             0.71592,            0.013077,           0.0054867,                   0,           0.0054831,           0.0054831,           0.0054831
                  75,            0.021613,            0.011253,                   0,             0.94311,              0.9799,             0.98177,             0.70041,            0.013147,           0.0056041,                   0,           0.0054212,           0.0054212,           0.0054212
                  76,            0.020143,            0.010873,                   0,             0.97486,             0.95567,             0.98581,             0.69962,            0.013753,           0.0051504,                   0,           0.0053594,           0.0053594,           0.0053594
                  77,            0.020102,            0.011482,                   0,             0.97082,             0.98522,             0.99005,             0.73538,            0.012712,            0.005015,                   0,           0.0052975,           0.0052975,           0.0052975
                  78,            0.020152,            0.011119,                   0,             0.96551,             0.96531,             0.98074,             0.71519,            0.012566,           0.0053363,                   0,           0.0052356,           0.0052356,           0.0052356
                  79,            0.019486,            0.010733,                   0,             0.96574,             0.97537,             0.98758,             0.71226,            0.012884,           0.0054352,                   0,           0.0051737,           0.0051737,           0.0051737
                  80,            0.020093,            0.010726,                   0,              0.9799,             0.96054,             0.98451,             0.70828,            0.013319,           0.0054342,                   0,           0.0051119,           0.0051119,           0.0051119
                  81,            0.019127,            0.010755,                   0,             0.96544,             0.96552,              0.9854,             0.70285,            0.013528,           0.0056109,                   0,             0.00505,             0.00505,             0.00505
                  82,             0.01911,            0.011082,                   0,             0.96547,             0.96552,             0.98731,             0.71936,            0.012872,           0.0054462,                   0,           0.0049881,           0.0049881,           0.0049881
                  83,            0.019274,            0.011328,                   0,             0.97059,             0.97532,             0.98918,             0.71238,            0.013378,           0.0055532,                   0,           0.0049263,           0.0049263,           0.0049263
                  84,            0.020034,             0.01061,                   0,             0.96059,             0.96059,              0.9831,             0.72464,            0.013026,            0.005412,                   0,           0.0048644,           0.0048644,           0.0048644
                  85,            0.018737,            0.011048,                   0,             0.96991,             0.95567,             0.98816,             0.72898,            0.013198,           0.0053401,                   0,           0.0048025,           0.0048025,           0.0048025
                  86,            0.019001,            0.010807,                   0,             0.95631,             0.97034,             0.98541,             0.72974,            0.012399,           0.0053925,                   0,           0.0047406,           0.0047406,           0.0047406
                  87,            0.018967,             0.01074,                   0,              0.9756,             0.98483,             0.99233,             0.73346,            0.012657,            0.005236,                   0,           0.0046788,           0.0046788,           0.0046788
                  88,            0.019297,            0.010552,                   0,             0.94638,             0.96059,             0.98522,             0.73532,            0.012778,           0.0054849,                   0,           0.0046169,           0.0046169,           0.0046169
                  89,            0.020337,             0.01104,                   0,             0.96969,             0.94566,             0.97914,             0.73002,            0.012773,           0.0053054,                   0,            0.004555,            0.004555,            0.004555
                  90,            0.020589,            0.010895,                   0,             0.96552,              0.9655,             0.98711,             0.73716,            0.012539,           0.0051958,                   0,           0.0044931,           0.0044931,           0.0044931
                  91,            0.021705,            0.010561,                   0,             0.96536,             0.96552,             0.98407,             0.72303,            0.013179,           0.0055406,                   0,           0.0044313,           0.0044313,           0.0044313
                  92,             0.01893,            0.010383,                   0,             0.95145,             0.96548,             0.97904,              0.7245,            0.013061,           0.0059155,                   0,           0.0043694,           0.0043694,           0.0043694
                  93,            0.019351,            0.010767,                   0,             0.96954,             0.94083,             0.98757,             0.72799,            0.012941,           0.0056894,                   0,           0.0043075,           0.0043075,           0.0043075
                  94,            0.018463,            0.010662,                   0,             0.97978,             0.95567,             0.98797,             0.72526,            0.013312,           0.0056934,                   0,           0.0042456,           0.0042456,           0.0042456
                  95,            0.018794,            0.010553,                   0,             0.98416,             0.95567,             0.98999,             0.72726,            0.013124,           0.0057555,                   0,           0.0041837,           0.0041837,           0.0041837
                  96,            0.018348,            0.010269,                   0,             0.97058,             0.97511,             0.98841,             0.72387,            0.012971,           0.0057431,                   0,           0.0041219,           0.0041219,           0.0041219
                  97,            0.019198,            0.010483,                   0,             0.96075,             0.96472,             0.98859,             0.72692,            0.013167,           0.0056998,                   0,             0.00406,             0.00406,             0.00406
                  98,            0.018612,            0.011013,                   0,             0.98029,             0.98023,              0.9898,             0.73036,            0.012844,           0.0054313,                   0,           0.0039981,           0.0039981,           0.0039981
                  99,            0.017512,            0.010192,                   0,             0.97073,             0.98029,             0.98476,             0.71826,            0.012971,           0.0055743,                   0,           0.0039362,           0.0039362,           0.0039362
                 100,            0.018057,            0.010189,                   0,             0.95192,             0.97536,             0.98313,             0.72389,            0.012848,           0.0054066,                   0,           0.0038744,           0.0038744,           0.0038744
                 101,            0.017678,            0.010106,                   0,             0.97537,              0.9753,             0.98897,             0.72296,             0.01298,           0.0056557,                   0,           0.0038125,           0.0038125,           0.0038125
                 102,            0.020338,            0.010354,                   0,             0.98456,             0.95074,             0.98531,             0.72339,            0.012916,           0.0059356,                   0,           0.0037506,           0.0037506,           0.0037506
                 103,            0.019307,            0.010035,                   0,             0.96534,             0.96059,             0.97558,              0.7202,            0.012738,           0.0058349,                   0,           0.0036888,           0.0036888,           0.0036888
                 104,            0.018242,            0.010325,                   0,             0.97053,             0.97537,             0.98775,             0.71077,            0.012932,           0.0056865,                   0,           0.0036269,           0.0036269,           0.0036269
                 105,              0.0167,            0.010097,                   0,             0.96968,             0.99015,             0.98766,             0.72638,            0.012681,            0.005626,                   0,            0.003565,            0.003565,            0.003565
                 106,            0.018152,            0.010239,                   0,             0.97073,             0.98028,             0.98689,             0.72844,            0.012431,           0.0056571,                   0,           0.0035031,           0.0035031,           0.0035031
                 107,            0.018059,            0.010364,                   0,             0.96617,             0.98486,             0.98525,             0.72344,             0.01279,           0.0058078,                   0,           0.0034413,           0.0034413,           0.0034413
                 108,            0.018375,            0.010381,                   0,             0.97992,             0.96552,             0.98107,             0.71225,            0.013072,           0.0061352,                   0,           0.0033794,           0.0033794,           0.0033794
                 109,            0.016945,           0.0097468,                   0,             0.96096,             0.97015,             0.98249,             0.72156,            0.012847,           0.0056992,                   0,           0.0033175,           0.0033175,           0.0033175
                 110,            0.016911,            0.009869,                   0,             0.95214,              0.9803,             0.98671,             0.72434,            0.012775,           0.0057775,                   0,           0.0032556,           0.0032556,           0.0032556
                 111,            0.016812,           0.0097122,                   0,             0.95215,             0.98015,             0.98855,             0.72124,            0.012714,           0.0059499,                   0,           0.0031938,           0.0031938,           0.0031938
                 112,            0.018148,           0.0097407,                   0,             0.97536,             0.97517,             0.98801,             0.72073,            0.013056,           0.0062496,                   0,           0.0031319,           0.0031319,           0.0031319
                 113,            0.017756,            0.010304,                   0,             0.97043,             0.97044,             0.98821,             0.71632,            0.012634,           0.0061365,                   0,             0.00307,             0.00307,             0.00307
